Name,Photo,Age,Country,Club,Club Photo,Overall Rating,Potential,Height,Weight,Preferred Foot,Best Position,Value,Wage,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
Blaise Matuidi,https://www.fifaindex.com/static/FIFA20/images/players/5/170890.png,32,France,Juventus ,https://www.fifaindex.com/static/FIFA19/images/crest/3/light/45.png,85,85,"5'11""",165lbs,Left,CDM,€25M,€145K,74,60,68,83,72.0,76,52,77,79,77,76,83.0,84,79.0,78,84.0,90,74,67,86,86.0,72.0,74.0,56,82.0,85,8,11,5,10,14
Luka Jović,https://www.fifaindex.com/static/FIFA20/images/players/5/232432.png,22,Serbia,Real Madrid ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/243.png,83,89,"6'0""",187lbs,Right,ST,€36.5M,€150K,67,86,79,74,84.0,81,46,58,83,76,77,78.0,81,77.0,83,75.0,76,80,76,62,23.0,84.0,70.0,66,79.0,25,8,7,12,9,13
Marcus Rashford,https://www.fifaindex.com/static/FIFA20/images/players/5/231677.png,22,England,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,83,88,"6'1""",154lbs,Right,CF,€35M,€110K,74,81,72,77,76.0,86,76,66,84,89,94,86.0,83,75.0,90,72.0,87,76,81,73,42.0,83.0,77.0,80,78.0,47,11,6,15,7,14
Lautaro Martínez,https://www.fifaindex.com/static/FIFA20/images/players/5/231478.png,22,Argentina,Inter ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/44.png,82,90,"5'9""",179lbs,Right,ST,€33.5M,€66K,56,83,82,72,76.0,84,33,73,84,81,81,86.0,81,73.0,79,88.0,78,84,72,86,45.0,84.0,76.0,72,81.0,56,11,8,8,8,13
Nicolas Pépé,https://www.fifaindex.com/static/FIFA20/images/players/5/226110.png,24,Ivory Coast,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,83,88,"6'0""",161lbs,Left,LW,€34.5M,€97K,79,79,57,75,70.0,87,78,67,82,90,91,91.0,83,83.0,81,68.0,84,68,79,43,28.0,82.0,80.0,85,80.0,36,11,14,11,6,8
Davinson Sánchez,https://www.fifaindex.com/static/FIFA20/images/players/5/220793.png,23,Colombia,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,83,86,"6'2""",174lbs,Right,CB,€29.5M,€93K,36,40,80,76,28.0,63,27,67,73,68,79,60.0,79,55.0,66,75.0,75,83,44,87,82.0,34.0,49.0,44,75.0,82,9,7,10,6,15
Corentin Tolisso,https://www.fifaindex.com/static/FIFA20/images/players/5/219683.png,25,France,FC Bayern ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/21.png,83,88,"5'11""",179lbs,Right,CM,€34M,€105K,67,75,82,84,62.0,77,73,86,82,73,68,75.0,83,74.0,82,83.0,84,76,81,81,76.0,79.0,80.0,70,74.0,75,7,10,14,9,14
Anthony Martial,https://www.fifaindex.com/static/FIFA20/images/players/5/211300.png,24,France,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,83,88,"6'0""",168lbs,Right,RW,€35M,€140K,72,82,69,79,74.0,87,54,63,86,88,89,84.0,81,79.0,84,70.0,75,76,77,58,42.0,82.0,76.0,81,79.0,34,9,8,8,15,11
Dele Alli,https://www.fifaindex.com/static/FIFA20/images/players/5/211117.png,23,England,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,83,88,"6'2""",176lbs,Right,CF,€34.5M,€105K,68,82,83,83,79.0,83,68,80,85,68,76,75.0,85,62.0,78,71.0,89,72,79,84,74.0,86.0,83.0,74,87.0,70,7,6,9,11,8
Alessio Romagnoli,https://www.fifaindex.com/static/FIFA20/images/players/5/210413.png,25,Italy,Milan ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/47.png,83,89,"6'2""",172lbs,Left,CB,€32M,€46K,36,30,77,72,28.0,65,24,71,70,60,66,60.0,78,53.0,64,78.0,72,79,46,85,86.0,31.0,45.0,34,76.0,88,9,14,12,8,9
Mateo Kovačić,https://www.fifaindex.com/static/FIFA20/images/players/5/207410.png,25,Croatia,Chelsea ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/5.png,82,87,"5'9""",176lbs,Right,CM,€29M,€120K,73,61,42,88,76.0,86,68,81,89,79,73,83.0,76,84.0,79,63.0,78,63,75,77,71.0,69.0,83.0,59,81.0,70,9,5,6,7,7
Arkadiusz Milik,https://www.fifaindex.com/static/FIFA20/images/players/5/205175.png,25,Poland,Napoli ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/48.png,83,88,"6'1""",172lbs,Left,ST,€35M,€91K,58,88,80,66,78.0,76,84,62,81,67,71,67.0,77,63.0,86,64.0,70,79,82,67,36.0,85.0,60.0,79,78.0,35,9,16,16,15,6
Thorgan Hazard,https://www.fifaindex.com/static/FIFA20/images/players/5/203486.png,26,Belgium,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,82,83,"5'9""",157lbs,Right,RW,€26M,€90K,81,76,37,82,80.0,86,79,71,84,86,78,91.0,82,86.0,78,60.0,78,61,77,57,63.0,81.0,80.0,81,77.0,44,6,9,7,7,8
Julian Draxler,https://www.fifaindex.com/static/FIFA20/images/players/5/202166.png,26,Germany,Paris ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/73.png,83,86,"6'2""",170lbs,Right,CAM,€32.5M,€100K,81,76,65,84,80.0,87,76,77,88,78,77,80.0,81,75.0,86,75.0,68,66,81,48,66.0,79.0,82.0,65,83.0,39,11,13,5,13,8
Jasper Cillessen,https://www.fifaindex.com/static/FIFA20/images/players/5/199987.png,30,Netherlands,Valencia CF ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/461.png,83,84,"6'1""",183lbs,Right,GK,€20M,€39K,17,10,12,50,19.0,12,10,35,32,54,50,48.0,80,50.0,59,71.0,40,67,15,25,25.0,11.0,60.0,21,61.0,18,82,83,78,81,83
Juan Cuadrado,https://www.fifaindex.com/static/FIFA20/images/players/5/193082.png,31,Colombia,Juventus ,https://www.fifaindex.com/static/FIFA19/images/crest/3/light/45.png,83,83,"5'10""",159lbs,Right,RW,€22.5M,€130K,78,64,58,81,70.0,90,69,69,85,88,90,91.0,78,81.0,84,74.0,74,58,80,78,62.0,78.0,76.0,65,80.0,63,5,5,13,6,9
Aaron Ramsey,https://www.fifaindex.com/static/FIFA20/images/players/5/186561.png,29,Wales,Juventus ,https://www.fifaindex.com/static/FIFA19/images/crest/3/light/45.png,83,83,"6'0""",168lbs,Right,CM,€25.5M,€140K,75,75,58,84,79.0,81,66,80,83,68,69,73.0,81,74.0,81,66.0,89,67,74,74,69.0,84.0,81.0,75,81.0,68,6,11,5,10,8
Sami Khedira,https://www.fifaindex.com/static/FIFA20/images/players/5/179846.png,32,Germany,Juventus ,https://www.fifaindex.com/static/FIFA19/images/crest/3/light/45.png,83,83,"6'2""",198lbs,Right,CDM,€19.5M,€130K,72,68,76,85,78.0,80,60,81,83,44,53,55.0,84,54.0,82,66.0,68,87,78,82,84.0,78.0,78.0,68,84.0,80,11,9,5,15,8
Mesut Özil,https://www.fifaindex.com/static/FIFA20/images/players/5/176635.png,31,Germany,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,84,84,"5'11""",168lbs,Left,CAM,€29.5M,€120K,83,72,51,89,80.0,83,76,82,89,68,62,75.0,82,71.0,70,45.0,64,56,67,44,24.0,80.0,91.0,67,83.0,24,6,14,10,6,14
Ezequiel Garay,https://www.fifaindex.com/static/FIFA20/images/players/5/170481.png,33,Argentina,Valencia CF ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/461.png,83,83,"6'2""",198lbs,Right,CB,€16.5M,€48K,62,51,80,72,49.0,60,74,72,70,40,45,51.0,77,33.0,80,79.0,66,90,64,80,83.0,42.0,63.0,69,77.0,82,14,6,13,13,14
Gianluigi Buffon,https://www.fifaindex.com/static/FIFA20/images/players/5/1179.png,41,Italy,Juventus ,https://www.fifaindex.com/static/FIFA19/images/crest/3/light/45.png,83,83,"6'4""",203lbs,Right,GK,€2.6M,€58K,13,15,13,37,17.0,26,13,35,28,37,30,55.0,80,49.0,56,71.0,34,69,13,38,28.0,12.0,50.0,22,70.0,13,78,77,74,91,80
Presnel Kimpembe,https://www.fifaindex.com/static/FIFA20/images/players/5/225850.png,24,France,Paris ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/73.png,82,86,"6'2""",176lbs,Left,CB,€26M,€75K,62,31,79,79,33.0,58,32,75,78,73,77,73.0,77,62.0,55,77.0,80,84,39,88,83.0,39.0,60.0,50,80.0,79,7,8,14,15,9
Lucas Torreira,https://www.fifaindex.com/static/FIFA20/images/players/5/223959.png,23,Uruguay,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,82,87,"5'6""",141lbs,Right,CDM,€27M,€80K,74,61,59,82,65.0,78,74,76,81,79,72,85.0,79,93.0,78,52.0,86,66,74,86,84.0,68.0,74.0,48,78.0,80,5,5,13,7,9
Matteo Politano,https://www.fifaindex.com/static/FIFA20/images/players/5/216409.png,26,Italy,Inter ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/44.png,82,83,"5'7""",148lbs,Left,LW,€26.5M,€77K,80,76,40,79,75.0,83,77,76,84,85,84,90.0,81,87.0,78,53.0,79,43,82,63,38.0,76.0,77.0,70,79.0,63,11,12,6,8,11
Marcelo Brozović,https://www.fifaindex.com/static/FIFA20/images/players/5/216352.png,27,Croatia,Inter ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/44.png,81,83,"5'11""",150lbs,Right,CM,€19.5M,€67K,72,69,62,82,65.0,80,74,83,83,63,64,73.0,75,74.0,80,67.0,90,62,81,82,81.0,66.0,80.0,69,78.0,75,8,8,15,11,8
Federico Bernardeschi,https://www.fifaindex.com/static/FIFA20/images/players/5/212404.png,25,Italy,Juventus ,https://www.fifaindex.com/static/FIFA19/images/crest/3/light/45.png,82,84,"6'1""",170lbs,Left,CAM,€27M,€115K,82,68,54,84,74.0,86,80,71,86,82,81,85.0,80,79.0,82,49.0,79,67,82,52,66.0,78.0,80.0,72,82.0,66,14,15,10,13,12
Daniele Rugani,https://www.fifaindex.com/static/FIFA20/images/players/5/211320.png,25,Italy,Juventus ,https://www.fifaindex.com/static/FIFA19/images/crest/3/light/45.png,82,86,"6'3""",185lbs,Right,CB,€26M,€95K,40,33,84,69,35.0,64,25,65,65,61,66,61.0,78,55.0,58,83.0,67,78,39,72,86.0,28.0,50.0,36,70.0,86,5,10,5,5,5
Adrien Rabiot,https://www.fifaindex.com/static/FIFA20/images/players/5/210008.png,24,France,Juventus ,https://www.fifaindex.com/static/FIFA19/images/crest/3/light/45.png,82,85,"6'4""",176lbs,Left,CM,€27.5M,€105K,70,69,77,84,72.0,78,59,79,84,71,74,75.0,83,72.0,80,73.0,78,83,79,76,80.0,76.0,80.0,67,81.0,70,9,12,9,7,15
Antonio Rüdiger,https://www.fifaindex.com/static/FIFA20/images/players/5/205452.png,26,Germany,Chelsea ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/5.png,82,84,"6'3""",187lbs,Right,CB,€24M,€115K,68,32,81,75,34.0,60,56,72,69,66,76,57.0,82,50.0,72,75.0,61,82,44,88,80.0,39.0,57.0,40,72.0,82,14,15,10,12,8
John Stones,https://www.fifaindex.com/static/FIFA20/images/players/5/203574.png,25,England,Manchester City ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/10.png,83,86,"6'2""",154lbs,Right,CB,€29M,€135K,62,29,83,82,27.0,69,29,75,80,65,71,60.0,79,59.0,46,81.0,77,77,38,79,83.0,49.0,67.0,44,77.0,82,7,15,11,10,8
Harry Maguire,https://www.fifaindex.com/static/FIFA20/images/players/5/203263.png,26,England,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,82,85,"6'4""",220lbs,Right,CB,€24.5M,€120K,44,48,86,76,47.0,70,46,77,76,47,53,54.0,80,56.0,68,84.0,74,88,52,84,80.0,61.0,68.0,44,83.0,81,14,16,9,14,9
Thomas Meunier,https://www.fifaindex.com/static/FIFA20/images/players/5/202371.png,28,Belgium,Paris ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/73.png,82,82,"6'3""",198lbs,Right,RB,€20M,€87K,83,72,75,82,79.0,75,56,74,82,74,83,63.0,80,49.0,77,72.0,92,85,78,73,76.0,80.0,71.0,65,78.0,75,8,13,15,6,9
Thomas Delaney,https://www.fifaindex.com/static/FIFA20/images/players/5/193283.png,28,Denmark,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,82,83,"6'0""",174lbs,Left,CB,€23M,€82K,67,72,83,77,66.0,74,68,79,76,78,76,73.0,81,73.0,78,91.0,90,77,74,84,86.0,75.0,74.0,60,79.0,80,8,12,11,14,15
Aleksandar Kolarov,https://www.fifaindex.com/static/FIFA20/images/players/5/185103.png,34,Serbia,Roma ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/52.png,82,82,"6'2""",179lbs,Left,LB,€10M,€52K,90,60,80,78,64.0,80,88,77,77,71,68,62.0,83,58.0,95,79.0,83,74,86,86,82.0,78.0,77.0,80,90.0,82,16,15,8,16,6
Jérôme Boateng,https://www.fifaindex.com/static/FIFA20/images/players/5/183907.png,31,Germany,FC Bayern ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/21.png,82,82,"6'4""",198lbs,Right,CB,€18M,€100K,69,34,84,75,52.0,64,31,82,70,63,67,55.0,82,52.0,78,71.0,66,88,58,80,80.0,47.0,73.0,46,84.0,81,7,12,15,6,5
Maximiliano Gómez,https://www.fifaindex.com/static/FIFA20/images/players/5/239207.png,23,Uruguay,Valencia CF ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/461.png,81,85,"6'1""",185lbs,Right,ST,€23.5M,€43K,59,84,86,75,76.0,74,57,63,78,63,67,66.0,78,57.0,79,83.0,79,85,75,65,21.0,87.0,70.0,72,82.0,35,7,8,13,12,6
Federico Valverde,https://www.fifaindex.com/static/FIFA20/images/players/5/239053.png,21,Uruguay,Real Madrid ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/243.png,81,89,"6'0""",172lbs,Right,CM,€26M,€115K,63,69,59,82,66.0,77,66,83,80,74,77,69.0,83,67.0,80,54.0,85,79,80,77,79.0,74.0,80.0,59,80.0,72,6,10,6,15,8
Tanguy Ndombele,https://www.fifaindex.com/static/FIFA20/images/players/5/235569.png,23,France,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,81,89,"5'11""",168lbs,Right,CAM,€26M,€87K,67,59,56,84,59.0,88,58,79,86,82,76,83.0,84,86.0,80,63.0,80,78,65,81,75.0,70.0,83.0,60,87.0,68,8,10,13,8,7
Aaron Wan-Bissaka,https://www.fifaindex.com/static/FIFA20/images/players/5/229880.png,22,England,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,81,89,"6'0""",159lbs,Right,RB,€23.5M,€81K,69,44,58,74,43.0,81,45,56,75,86,88,84.0,78,71.0,64,62.0,77,70,46,78,80.0,68.0,64.0,56,73.0,81,9,8,6,8,8
Manuel Akanji,https://www.fifaindex.com/static/FIFA20/images/players/5/229237.png,24,Switzerland,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,81,86,"6'2""",201lbs,Right,CB,€21.5M,€65K,53,36,77,79,42.0,69,30,77,75,73,84,69.0,81,64.0,69,81.0,74,82,48,76,81.0,33.0,67.0,40,80.0,81,10,9,13,6,9
Ferland Mendy,https://www.fifaindex.com/static/FIFA20/images/players/5/228618.png,24,France,Real Madrid ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/243.png,81,87,"5'11""",161lbs,Left,LB,€21.5M,€120K,74,63,71,77,50.0,80,35,76,78,90,90,80.0,82,78.0,69,78.0,88,78,64,81,77.0,80.0,73.0,49,78.0,75,7,16,9,10,9
Hirving Lozano,https://www.fifaindex.com/static/FIFA20/images/players/5/221992.png,24,Mexico,Napoli ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/48.png,81,85,"5'9""",154lbs,Right,RW,€23M,€71K,75,75,58,74,74.0,82,65,67,81,94,93,90.0,81,76.0,76,67.0,82,59,73,64,45.0,80.0,72.0,73,76.0,42,11,10,14,14,10
Victor Lindelöf,https://www.fifaindex.com/static/FIFA20/images/players/5/221660.png,25,Sweden,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,81,85,"6'2""",176lbs,Right,CB,€21M,€97K,62,42,79,79,38.0,71,59,78,76,72,76,67.0,82,62.0,70,80.0,76,76,52,81,81.0,51.0,70.0,54,83.0,82,12,16,8,7,9
Piotr Zieliński,https://www.fifaindex.com/static/FIFA20/images/players/5/210406.png,25,Poland,Napoli ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/48.png,81,85,"5'11""",165lbs,Right,CAM,€22.5M,€71K,77,68,52,84,75.0,85,65,80,85,79,82,79.0,76,76.0,76,53.0,73,57,82,56,75.0,77.0,83.0,51,75.0,69,12,9,12,11,6
Raphaël Guerreiro,https://www.fifaindex.com/static/FIFA20/images/players/5/209889.png,26,Portugal,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,81,82,"5'7""",157lbs,Left,CAM,€21M,€79K,82,73,37,83,79.0,85,82,77,85,80,68,88.0,82,87.0,79,53.0,75,49,82,54,75.0,76.0,83.0,44,84.0,68,12,6,8,11,8
Emre Can,https://www.fifaindex.com/static/FIFA20/images/players/5/208333.png,26,Germany,Juventus ,https://www.fifaindex.com/static/FIFA19/images/crest/3/light/45.png,81,86,"6'0""",181lbs,Right,CDM,€23M,€105K,70,60,72,83,65.0,80,64,81,83,68,71,72.0,78,69.0,81,76.0,87,82,75,86,82.0,76.0,78.0,60,80.0,82,14,8,8,13,11
Franco Vázquez,https://www.fifaindex.com/static/FIFA20/images/players/5/207471.png,30,Argentina,Sevilla FC ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/481.png,81,81,"6'1""",181lbs,Left,CAM,€16.5M,€24K,73,77,68,84,81.0,85,68,81,86,53,58,67.0,78,34.0,76,45.0,64,77,84,78,69.0,77.0,84.0,67,80.0,50,14,15,13,9,7
Tomáš Vaclík,https://www.fifaindex.com/static/FIFA20/images/players/5/204120.png,30,Czech Republic,Sevilla FC ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/481.png,81,82,"6'2""",187lbs,Right,GK,€14M,€18K,15,14,19,17,13.0,14,16,38,20,36,37,36.0,78,56.0,56,73.0,38,73,16,29,23.0,15.0,68.0,13,60.0,20,82,72,74,82,85
Alessandro Florenzi,https://www.fifaindex.com/static/FIFA20/images/players/5/203551.png,28,Italy,Roma ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/52.png,81,81,"5'8""",148lbs,Right,RB,€15M,€50K,77,70,72,77,87.0,78,79,75,79,85,79,87.0,80,82.0,82,74.0,89,63,82,79,79.0,82.0,76.0,76,80.0,76,9,8,10,11,10
Geoffrey Kondogbia,https://www.fifaindex.com/static/FIFA20/images/players/5/201455.png,26,Central African Rep.,Valencia CF ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/461.png,81,84,"6'2""",176lbs,Left,CDM,€21.5M,€45K,65,69,75,83,62.0,79,56,79,82,67,73,73.0,83,66.0,86,78.0,81,92,83,86,80.0,77.0,79.0,45,84.0,77,15,10,10,8,10
Nicolás Otamendi,https://www.fifaindex.com/static/FIFA20/images/players/5/192366.png,31,Argentina,Manchester City ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/10.png,81,81,"6'0""",179lbs,Right,CB,€13M,€120K,52,54,84,73,57.0,51,39,72,67,55,54,58.0,77,58.0,69,89.0,65,78,56,91,82.0,48.0,53.0,45,79.0,79,12,5,8,11,12
Mario Götze,https://www.fifaindex.com/static/FIFA20/images/players/5/192318.png,27,Germany,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,81,82,"5'9""",165lbs,Right,CAM,€21M,€90K,82,76,50,87,86.0,85,72,83,90,71,67,83.0,85,84.0,76,58.0,79,72,71,59,66.0,82.0,86.0,79,87.0,64,14,7,12,6,10
Luuk de Jong,https://www.fifaindex.com/static/FIFA20/images/players/5/189805.png,29,Netherlands,Sevilla FC ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/481.png,82,82,"6'2""",190lbs,Right,ST,€23M,€29K,66,82,93,78,84.0,66,69,66,77,54,58,58.0,83,60.0,84,81.0,84,84,69,54,40.0,86.0,69.0,67,80.0,58,16,10,8,8,11
Giacomo Bonaventura,https://www.fifaindex.com/static/FIFA20/images/players/5/189125.png,30,Italy,Milan ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/47.png,81,81,"5'11""",165lbs,Right,CAM,€17M,€52K,82,70,70,84,78.0,83,78,80,85,73,73,75.0,78,77.0,84,68.0,79,63,86,68,72.0,78.0,80.0,68,80.0,74,10,14,7,15,14
Kévin Gameiro,https://www.fifaindex.com/static/FIFA20/images/players/5/176600.png,32,France,Valencia CF ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/461.png,81,81,"5'8""",154lbs,Right,CF,€14M,€49K,69,80,67,79,78.0,76,70,69,78,87,84,80.0,81,76.0,82,84.0,71,64,73,66,38.0,85.0,75.0,81,80.0,50,6,10,8,8,6
Lorenzo Pellegrini,https://www.fifaindex.com/static/FIFA20/images/players/5/228251.png,23,Italy,Roma ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/52.png,79,84,"6'1""",170lbs,Right,CM,€16.5M,€41K,74,60,71,84,69.0,77,69,80,80,75,74,68.0,73,70.0,76,66.0,74,66,74,71,70.0,75.0,82.0,67,79.0,70,12,7,10,13,11
Christian Pulisic,https://www.fifaindex.com/static/FIFA20/images/players/5/227796.png,21,United States,Chelsea ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/5.png,80,86,"5'10""",152lbs,Right,RM,€20.5M,€89K,70,70,50,76,70.0,86,58,59,83,93,87,87.0,77,86.0,77,78.0,77,51,58,45,33.0,75.0,76.0,61,72.0,38,8,12,13,16,14
Rodrigo Bentancur,https://www.fifaindex.com/static/FIFA20/images/players/5/227535.png,22,Uruguay,Juventus ,https://www.fifaindex.com/static/FIFA19/images/crest/3/light/45.png,80,87,"6'2""",172lbs,Right,CM,€20.5M,€91K,72,52,62,85,60.0,84,68,79,85,69,76,68.0,78,68.0,65,74.0,87,65,62,78,71.0,64.0,76.0,64,80.0,76,8,7,14,14,12
Abdou Diallo,https://www.fifaindex.com/static/FIFA20/images/players/5/225711.png,23,France,Paris ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/73.png,80,85,"6'2""",174lbs,Left,CB,€18M,€65K,69,38,79,77,39.0,75,32,78,77,78,76,75.0,78,72.0,46,82.0,76,76,24,77,79.0,59.0,69.0,41,82.0,78,12,7,7,7,8
Eric Bailly,https://www.fifaindex.com/static/FIFA20/images/players/5/225508.png,25,Ivory Coast,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,80,83,"6'1""",170lbs,Right,CB,€16.5M,€100K,51,33,79,67,42.0,60,43,56,62,72,79,67.0,72,61.0,55,82.0,63,85,48,85,80.0,47.0,55.0,46,74.0,77,14,14,10,9,8
Harry Winks,https://www.fifaindex.com/static/FIFA20/images/players/5/222400.png,23,England,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,80,85,"5'9""",163lbs,Right,CM,€19.5M,€82K,65,55,50,84,50.0,84,60,80,82,72,68,81.0,80,82.0,63,50.0,80,61,62,65,75.0,64.0,81.0,51,83.0,73,8,11,14,13,10
Matias Vecino,https://www.fifaindex.com/static/FIFA20/images/players/5/219985.png,28,Uruguay,Inter ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/44.png,80,80,"6'2""",179lbs,Right,CM,€13.5M,€63K,71,61,79,83,62.0,82,58,78,83,70,64,65.0,83,65.0,78,74.0,84,73,77,72,77.0,76.0,81.0,56,81.0,79,4,4,4,4,4
Andreas Christensen,https://www.fifaindex.com/static/FIFA20/images/players/5/213661.png,23,Denmark,Chelsea ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/5.png,80,87,"6'2""",181lbs,Right,CB,€19M,€85K,49,36,79,77,25.0,66,22,71,73,65,70,61.0,78,61.0,31,73.0,68,73,20,73,82.0,32.0,62.0,36,76.0,79,10,12,8,6,8
Hakan Çalhanoğlu,https://www.fifaindex.com/static/FIFA20/images/players/5/208128.png,25,Turkey,Milan ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/47.png,80,81,"5'10""",168lbs,Right,CAM,€17.5M,€49K,81,65,53,83,77.0,85,86,80,86,70,65,77.0,78,77.0,86,46.0,73,52,88,57,61.0,75.0,80.0,71,78.0,62,9,14,11,6,10
Jesse Lingard,https://www.fifaindex.com/static/FIFA20/images/players/5/207494.png,27,England,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,80,80,"5'9""",137lbs,Right,CAM,€16M,€115K,74,74,67,79,75.0,79,68,63,81,80,78,86.0,80,84.0,79,70.0,87,62,78,74,54.0,82.0,77.0,74,80.0,63,14,10,8,13,9
Benjamin Mendy,https://www.fifaindex.com/static/FIFA20/images/players/5/204884.png,25,France,Manchester City ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/10.png,80,85,"6'1""",187lbs,Left,LWB,€17.5M,€96K,87,33,65,80,31.0,79,34,69,78,76,84,68.0,80,66.0,79,71.0,75,79,65,75,78.0,73.0,76.0,50,79.0,77,7,7,9,15,9
Kurt Zouma,https://www.fifaindex.com/static/FIFA20/images/players/5/204311.png,25,France,Chelsea ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/5.png,80,84,"6'3""",209lbs,Right,CB,€17.5M,€85K,49,47,79,65,47.0,50,59,64,63,58,69,51.0,75,52.0,63,90.0,63,92,49,83,78.0,49.0,60.0,59,69.0,76,14,14,7,9,15
Nico Schulz,https://www.fifaindex.com/static/FIFA20/images/players/5/200536.png,26,Germany,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,80,81,"5'11""",183lbs,Left,LWB,€15M,€71K,81,48,60,77,49.0,80,42,73,76,89,90,76.0,81,75.0,65,62.0,79,77,40,73,78.0,73.0,78.0,56,79.0,75,13,9,15,7,14
Granit Xhaka,https://www.fifaindex.com/static/FIFA20/images/players/5/199503.png,27,Switzerland,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,80,81,"6'1""",176lbs,Left,CM,€17M,€88K,73,50,62,85,50.0,66,77,85,80,48,55,49.0,73,61.0,90,30.0,82,80,78,92,71.0,67.0,80.0,63,66.0,64,7,8,11,7,13
Francis Coquelin,https://www.fifaindex.com/static/FIFA20/images/players/5/189271.png,28,France,Valencia CF ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/461.png,80,80,"5'10""",163lbs,Right,CDM,€14.5M,€44K,68,62,63,82,53.0,80,41,79,81,71,69,79.0,82,79.0,74,79.0,72,77,69,88,83.0,75.0,79.0,52,78.0,76,9,9,8,10,15
